,city_development_index,relevent_experience,education_level,experience,last_new_job,target
173,0.91,0,2.0,0.0,1.0,0
174,0.878,1,2.0,0.0,1.0,0
175,0.92,1,2.0,0.0,4.0,0
176,0.949,1,2.0,0.0,1.0,0
180,0.698,0,2.0,0.0,2.1882634428913237,1
182,0.924,0,2.0,0.0,0.0,0
183,0.939,1,2.0,0.0,5.0,0
185,0.897,1,2.0,0.0,1.0,0
186,0.624,1,2.0,0.0,5.0,1
188,0.789,1,2.0,0.0,5.0,1
192,0.91,0,2.0,0.0,3.0,1
193,0.923,0,2.0,0.0,1.0,0
194,0.91,1,2.0,0.0,0.0,0
197,0.893,1,2.0,0.0,0.0,0
198,0.802,1,2.0,0.0,0.0,0
199,0.884,1,2.0,0.0,2.0,0
202,0.775,1,2.0,0.0,1.0,0
204,0.903,1,2.0,0.0,1.0,1
205,0.55,1,2.0,0.0,2.1882634428913237,1
211,0.555,1,2.0,0.0,1.0,0
222,0.939,1,2.0,0.0,1.0,0
224,0.804,0,2.0,0.0,1.0,0
225,0.91,0,2.0,0.0,0.0,1
231,0.727,1,2.0,0.0,5.0,0
232,0.91,0,2.0,0.0,2.0,1
234,0.754,1,2.0,0.0,5.0,0
235,0.903,1,2.0,0.0,4.0,0
236,0.884,0,2.0,0.0,1.0,0
237,0.903,1,2.0,0.0,2.0,0
245,0.698,0,2.0,0.0,0.0,0
255,0.893,0,2.0,0.0,1.0,0
256,0.762,1,2.0,0.0,1.0,0
258,0.6659999999999999,1,2.0,0.0,1.0,1
259,0.6659999999999999,0,2.0,0.0,5.0,1
260,0.624,0,2.0,0.0,1.0,1
261,0.897,1,2.0,0.0,5.0,0
266,0.923,0,2.0,0.0,0.0,0
273,0.91,1,2.0,0.0,2.0,0
279,0.949,1,2.0,0.0,4.0,0
280,0.939,1,2.0,0.0,1.0,1
281,0.64,1,2.0,0.0,0.0,1
283,0.794,0,2.0,0.0,1.0,0
285,0.516,1,2.0,0.0,1.0,0
288,0.727,1,2.0,0.0,2.0,0
290,0.924,0,2.0,0.0,1.0,1
294,0.555,0,2.0,0.0,1.0,0
297,0.855,1,2.0,0.0,2.0,0
299,0.579,1,2.0,0.0,1.0,0
300,0.897,1,2.0,0.0,0.0,0
305,0.913,0,2.0,0.0,0.0,0
308,0.923,1,2.0,0.0,5.0,0
309,0.913,1,2.0,0.0,1.0,0
311,0.804,1,2.0,0.0,1.0,1
314,0.743,0,2.0,0.0,5.0,0
317,0.804,1,2.0,0.0,5.0,0
320,0.804,1,2.0,0.0,4.0,0
326,0.769,1,2.0,0.0,1.0,0
330,0.899,1,2.0,0.0,1.0,0
331,0.865,0,2.0,0.0,0.0,0
332,0.855,1,2.0,0.0,2.0,1
334,0.698,1,2.0,0.0,4.0,0
336,0.804,0,2.0,0.0,0.0,1
337,0.913,1,2.0,0.0,5.0,0
340,0.897,0,2.0,0.0,1.0,0
341,0.915,1,2.0,0.0,4.0,0
342,0.887,1,2.0,0.0,1.0,0
346,0.802,1,2.0,0.0,4.0,0
347,0.6890000000000001,0,2.0,0.0,2.0,0
348,0.698,0,2.0,0.0,2.0,1
353,0.893,1,2.0,0.0,4.0,0
355,0.55,1,2.0,0.0,1.0,0
361,0.899,1,2.0,0.0,2.0,0
362,0.878,1,2.0,0.0,3.0,1
363,0.7759999999999999,1,2.0,0.0,5.0,0
364,0.804,1,2.0,0.0,2.0,0
366,0.91,0,4.0,0.0,0.0,0
371,0.893,1,2.0,0.0,5.0,0
375,0.92,0,2.0,0.0,0.0,1
379,0.887,0,2.0,0.0,1.0,1
382,0.897,0,2.0,0.0,4.0,1
390,0.836,0,2.0,0.0,0.0,0
391,0.698,1,2.0,0.0,2.1882634428913237,1
395,0.895,1,2.0,0.0,1.0,0
398,0.55,0,2.0,0.0,0.0,1
399,0.92,0,4.0,0.0,0.0,0
400,0.89,0,2.0,0.0,3.0,0
408,0.8959999999999999,1,2.0,0.0,5.0,1
409,0.884,0,2.0,0.0,3.0,0
421,0.767,1,2.0,0.0,1.0,0
422,0.884,1,2.0,0.0,2.0,1
423,0.847,1,2.0,0.0,0.0,0
428,0.8270000000000001,1,2.0,0.0,2.0,0
430,0.794,1,2.0,0.0,1.0,0
432,0.527,0,2.0,0.0,1.0,0
439,0.7659999999999999,1,2.0,0.0,0.0,1
440,0.738,1,2.0,0.0,1.0,0
441,0.855,0,2.0,0.0,1.0,0
442,0.91,1,2.0,0.0,4.0,0
446,0.762,1,2.0,0.0,3.0,0
447,0.91,0,2.0,0.0,1.0,1
448,0.903,1,2.0,0.0,1.0,0
449,0.855,1,2.0,0.0,5.0,0
450,0.878,1,2.0,0.0,5.0,0
454,0.762,1,2.0,0.0,5.0,0
458,0.92,0,2.0,5.0,2.1882634428913237,0
461,0.7759999999999999,1,2.0,0.0,0.0,0
463,0.767,1,2.0,0.0,0.0,0
464,0.767,1,2.0,0.0,1.0,1
473,0.64,0,2.0,0.0,1.0,0
475,0.802,1,2.0,0.0,2.0,0
478,0.647,1,2.0,0.0,1.0,0
484,0.924,1,2.0,0.0,5.0,0
488,0.795,1,2.0,0.0,5.0,0
490,0.5579999999999999,0,2.0,0.0,0.0,1
496,0.794,1,2.0,0.0,5.0,0
498,0.682,1,2.0,0.0,3.0,0
503,0.92,1,2.0,0.0,2.0,1
506,0.887,1,2.0,0.0,0.0,0
508,0.939,0,2.0,0.0,2.0,0
514,0.7959999999999999,1,2.0,0.0,5.0,0
521,0.91,1,2.0,0.0,1.0,1
522,0.55,1,2.0,0.0,5.0,1
523,0.74,0,2.0,0.0,1.0,1
528,0.754,0,2.0,0.0,1.0,1
535,0.939,0,2.0,0.0,1.0,0
537,0.754,0,2.0,0.0,1.0,0
538,0.698,1,2.0,0.0,0.0,0
543,0.89,1,2.0,0.0,5.0,0
544,0.855,0,2.0,0.0,2.0,0
545,0.624,0,2.0,0.0,3.0,1
551,0.926,1,2.0,0.0,3.0,0
552,0.698,1,2.0,0.0,5.0,0
557,0.865,1,2.0,0.0,5.0,0
565,0.743,1,2.0,0.0,2.0,0
570,0.924,1,2.0,0.0,1.0,1
572,0.866,1,2.0,0.0,1.0,0
574,0.701,0,2.0,0.0,1.0,0
575,0.89,1,2.0,0.0,2.1882634428913237,0
576,0.91,0,2.0,0.0,2.0,0
584,0.698,0,2.0,0.0,1.0,1
585,0.893,1,2.0,0.0,1.0,0
587,0.7659999999999999,1,2.0,0.0,1.0,1
589,0.767,1,2.0,0.0,0.0,1
590,0.516,1,2.0,0.0,1.0,1
593,0.682,0,2.0,3.0,2.1882634428913237,1
598,0.913,1,2.0,0.0,4.0,0
606,0.939,0,2.0,0.0,2.0,1
609,0.925,1,2.0,0.0,2.0,0
610,0.6659999999999999,1,2.0,0.0,1.0,0
616,0.767,1,2.0,0.0,2.0,0
619,0.682,0,2.0,0.0,1.0,0
620,0.926,0,2.0,0.0,2.0,0
623,0.762,0,2.0,0.0,0.0,0
625,0.767,0,2.0,0.0,2.0,1
626,0.887,1,2.0,0.0,4.0,1
629,0.895,1,2.0,0.0,5.0,0
631,0.698,1,2.0,0.0,1.0,1
635,0.915,1,2.0,0.0,2.0,0
643,0.802,0,2.0,0.0,1.0,1
648,0.878,0,2.0,0.0,3.0,0
654,0.6890000000000001,1,2.0,0.0,3.0,1
668,0.698,0,2.0,0.0,1.0,0
672,0.8959999999999999,0,2.0,0.0,5.0,0
675,0.769,1,2.0,0.0,5.0,1
677,0.924,0,2.0,0.0,3.0,1
695,0.493,0,2.0,0.0,1.0,1
696,0.91,0,2.0,0.0,4.0,0
699,0.899,0,2.0,0.0,5.0,0
701,0.878,0,2.0,0.0,2.0,0
707,0.84,1,2.0,0.0,1.0,0
713,0.555,1,2.0,0.0,1.0,1
714,0.769,0,2.0,0.0,2.0,1
715,0.897,0,2.0,0.0,5.0,0
719,0.92,1,2.0,11.0,2.1882634428913237,1
720,0.887,0,2.0,0.0,0.0,0
721,0.804,0,2.0,0.0,2.0,1
722,0.6890000000000001,0,2.0,0.0,0.0,0
727,0.855,0,2.0,0.0,2.0,1
738,0.866,1,2.0,0.0,0.0,0
739,0.878,0,2.0,0.0,1.0,1
740,0.903,1,2.0,0.0,5.0,0
741,0.691,0,2.0,0.0,1.0,0
749,0.735,1,2.0,0.0,1.0,0
754,0.84,0,4.0,0.0,0.0,0
760,0.897,0,4.0,0.0,0.0,0
762,0.742,1,2.0,0.0,1.0,0
770,0.91,1,2.0,0.0,2.1882634428913237,0
772,0.884,1,2.0,0.0,5.0,0
775,0.624,1,2.0,0.0,3.0,0
776,0.899,1,2.0,0.0,3.0,0
779,0.91,0,2.0,0.0,5.0,0
781,0.866,1,2.0,0.0,2.0,0
787,0.897,0,2.0,0.0,2.0,0
789,0.8270000000000001,1,2.0,0.0,5.0,0
790,0.555,1,2.0,0.0,3.0,1
791,0.624,0,2.0,0.0,5.0,1
802,0.843,1,2.0,0.0,1.0,1
805,0.738,1,2.0,0.0,5.0,1
807,0.479,1,2.0,0.0,1.0,0
808,0.6890000000000001,1,2.0,0.0,0.0,0
810,0.527,1,2.0,0.0,0.0,0
813,0.7759999999999999,1,2.0,0.0,2.0,0
816,0.624,1,2.0,0.0,0.0,0
830,0.682,0,2.0,0.0,1.0,1
831,0.878,1,2.0,0.0,3.0,0
832,0.754,0,2.0,0.0,5.0,0
834,0.899,1,2.0,0.0,0.0,0
840,0.924,1,2.0,0.0,3.0,0
843,0.949,0,2.0,0.0,5.0,0
846,0.887,1,2.0,0.0,4.0,0
848,0.722,1,2.0,0.0,1.0,1
850,0.893,0,2.0,0.0,3.0,0
852,0.926,0,2.0,0.0,4.0,0
853,0.897,0,2.0,0.0,0.0,1
856,0.8270000000000001,0,2.0,0.0,1.0,0
857,0.89,1,2.0,0.0,2.0,0
861,0.925,1,2.0,0.0,1.0,0
867,0.915,1,2.0,0.0,1.0,0
872,0.743,0,2.0,0.0,0.0,0
876,0.6890000000000001,0,2.0,0.0,1.0,1
882,0.897,0,2.0,0.0,0.0,0
889,0.893,0,2.0,0.0,2.0,0
891,0.735,1,2.0,0.0,2.1882634428913237,0
901,0.527,1,2.0,0.0,2.0,0
902,0.738,0,2.0,0.0,2.1882634428913237,0
903,0.921,1,2.0,0.0,1.0,0
904,0.89,1,2.0,0.0,1.0,0
906,0.895,0,2.0,0.0,1.0,1
909,0.624,1,2.0,0.0,2.1882634428913237,0
910,0.767,0,2.0,0.0,1.0,1
911,0.848,1,2.0,0.0,4.0,0
918,0.856,1,2.0,0.0,1.0,0
921,0.767,0,2.0,0.0,0.0,0
928,0.92,1,4.0,0.0,3.0,0
938,0.843,1,2.0,0.0,5.0,1
941,0.92,0,2.0,0.0,2.0,1
945,0.479,0,2.0,0.0,1.0,1
946,0.897,1,2.0,0.0,4.0,0
949,0.887,0,2.0,0.0,3.0,0
953,0.754,1,2.0,0.0,3.0,1
954,0.92,0,2.0,0.0,5.0,1
959,0.939,1,2.0,0.0,4.0,0
964,0.843,0,2.0,0.0,1.0,0
968,0.762,0,2.0,0.0,5.0,0
969,0.903,0,2.0,0.0,5.0,0
977,0.479,0,2.0,0.0,2.1882634428913237,1
978,0.64,1,2.0,0.0,5.0,0
979,0.893,1,2.0,0.0,1.0,1
990,0.897,1,2.0,0.0,1.0,1
992,0.84,0,2.0,0.0,0.0,0
998,0.7759999999999999,0,2.0,0.0,1.0,0
1001,0.743,1,2.0,0.0,4.0,0
1005,0.836,1,2.0,0.0,2.0,0
1009,0.682,1,2.0,0.0,1.0,0
1012,0.899,0,2.0,0.0,0.0,0
1015,0.893,1,2.0,0.0,2.0,1
1022,0.8270000000000001,0,2.0,0.0,0.0,0
1023,0.767,0,2.0,0.0,5.0,1
1044,0.903,1,2.0,0.0,3.0,0
1047,0.92,0,2.0,2.0,2.1882634428913237,1
1049,0.926,0,2.0,0.0,1.0,1
1050,0.8959999999999999,1,2.0,0.0,2.0,0
1055,0.926,1,2.0,0.0,2.0,1
1057,0.939,0,2.0,0.0,1.0,1
1060,0.898,0,2.0,0.0,0.0,0
1064,0.878,0,2.0,0.0,0.0,0
1080,0.926,0,2.0,0.0,5.0,1
1086,0.926,1,2.0,0.0,1.0,1
1088,0.527,1,2.0,0.0,5.0,0
1092,0.913,1,2.0,0.0,1.0,1
1093,0.5579999999999999,1,2.0,0.0,1.0,1
1106,0.698,0,2.0,0.0,0.0,1
1111,0.887,1,2.0,0.0,3.0,0
1116,0.55,0,2.0,0.0,1.0,1
1121,0.743,1,2.0,0.0,3.0,0
1122,0.897,0,2.0,0.0,1.0,1
1123,0.924,1,2.0,0.0,4.0,0
1133,0.899,1,2.0,0.0,5.0,0
1135,0.843,1,2.0,0.0,5.0,0
1136,0.754,1,2.0,0.0,5.0,1
1138,0.866,0,2.0,0.0,0.0,0
1141,0.897,0,2.0,0.0,4.0,0
1147,0.769,0,2.0,0.0,1.0,0
1148,0.682,0,2.0,0.0,0.0,0
1155,0.698,1,2.0,0.0,3.0,0
1166,0.624,0,2.0,3.0,2.1882634428913237,0
1169,0.8959999999999999,1,2.0,0.0,5.0,0
1172,0.887,0,2.0,0.0,1.0,0
1187,0.579,1,2.0,0.0,2.1882634428913237,0
1196,0.83,1,2.0,0.0,0.0,0
1197,0.913,1,2.0,0.0,2.0,0
1204,0.73,1,2.0,0.0,5.0,0
1212,0.764,1,2.0,0.0,1.0,0
1214,0.698,1,2.0,0.0,5.0,1
1220,0.949,0,2.0,0.0,2.0,0
1221,0.68,0,2.0,0.0,0.0,0
1232,0.939,0,2.0,0.0,0.0,0
1238,0.555,0,2.0,0.0,0.0,1
1240,0.795,1,2.0,0.0,0.0,0
1251,0.91,1,2.0,0.0,5.0,1
1257,0.754,1,2.0,0.0,1.0,1
1258,0.84,1,2.0,0.0,2.0,0
1263,0.527,0,2.0,0.0,0.0,1
1276,0.8959999999999999,1,2.0,0.0,0.0,0
1280,0.624,1,2.0,0.0,4.0,0
1285,0.767,1,2.0,0.0,2.0,1
1290,0.884,0,2.0,0.0,5.0,0
1297,0.8959999999999999,1,2.0,0.0,1.0,0
1309,0.725,0,2.0,0.0,0.0,1
1311,0.893,1,2.0,0.0,5.0,1
1314,0.884,1,2.0,0.0,3.0,0
1329,0.893,0,2.0,0.0,0.0,0
1334,0.55,1,2.0,0.0,2.0,0
1337,0.789,0,2.0,0.0,1.0,0
1339,0.6890000000000001,1,2.0,0.0,5.0,0
1341,0.682,1,2.0,0.0,5.0,1
1342,0.8959999999999999,0,2.0,0.0,1.0,1
1350,0.767,1,2.0,0.0,5.0,0
1352,0.555,1,2.0,0.0,2.0,1
1374,0.7659999999999999,1,2.0,0.0,1.0,0
1376,0.92,1,4.0,6.0,2.1882634428913237,0
1379,0.579,1,2.0,0.0,0.0,0
1386,0.855,0,2.0,0.0,1.0,1
1388,0.691,1,2.0,0.0,2.1882634428913237,1
1396,0.926,0,2.0,0.0,0.0,1
1400,0.903,1,2.0,0.0,2.0,1
1402,0.836,1,2.0,0.0,5.0,0
1411,0.848,1,2.0,0.0,5.0,0
1413,0.754,1,2.0,0.0,0.0,1
1415,0.923,1,2.0,0.0,4.0,0
1424,0.8959999999999999,0,2.0,0.0,2.0,0
1428,0.527,0,2.0,0.0,3.0,0
1430,0.556,1,2.0,0.0,1.0,1
1432,0.8959999999999999,0,2.0,0.0,1.0,0
1434,0.698,0,4.0,0.0,0.0,0
1441,0.899,1,2.0,0.0,2.1882634428913237,0
1442,0.7959999999999999,0,2.0,0.0,2.1882634428913237,0
1445,0.55,1,4.0,3.0,2.1882634428913237,1
1447,0.624,1,4.0,0.0,1.0,1
1454,0.624,0,2.0,0.0,5.0,0
1457,0.754,0,2.0,0.0,0.0,0
1458,0.949,1,2.0,0.0,2.0,0
1462,0.836,0,2.0,0.0,1.0,1
1463,0.887,0,2.0,0.0,2.0,1
1470,0.722,1,2.0,0.0,1.0,0
1473,0.74,0,2.0,0.0,0.0,1
1481,0.682,1,2.0,0.0,2.0,0
1491,0.698,0,2.0,0.0,4.0,0
1497,0.698,1,2.0,0.0,3.0,1
1499,0.897,0,2.0,0.0,3.0,0
1506,0.865,1,2.0,0.0,4.0,1
1513,0.624,0,2.0,0.0,2.1882634428913237,0
1517,0.915,1,2.0,0.0,1.0,1
1523,0.4479999999999999,1,2.0,0.0,5.0,1
1525,0.698,0,2.0,0.0,3.0,0
1526,0.855,1,2.0,0.0,5.0,1
1533,0.74,0,2.0,0.0,0.0,0
1538,0.682,0,2.0,0.0,2.0,0
1541,0.915,0,2.0,0.0,1.0,1
1542,0.926,1,2.0,0.0,5.0,1
1547,0.89,0,2.0,0.0,0.0,1
1555,0.763,1,2.0,0.0,2.0,0
1556,0.6890000000000001,1,2.0,0.0,1.0,0
1578,0.926,1,2.0,0.0,0.0,1
1585,0.738,1,2.0,0.0,2.1882634428913237,0
1592,0.939,1,2.0,0.0,2.0,1
1599,0.923,1,2.0,0.0,2.0,1
1608,0.727,1,2.0,0.0,3.0,1
1620,0.789,0,2.0,0.0,1.0,1
1627,0.579,0,2.0,3.0,2.1882634428913237,1
1631,0.924,0,2.0,0.0,1.0,0
1632,0.738,0,2.0,4.0,2.1882634428913237,1
1633,0.865,1,2.0,0.0,1.0,0
1634,0.754,1,2.0,0.0,3.0,0
1635,0.7659999999999999,1,2.0,0.0,5.0,1
1637,0.738,1,2.0,0.0,0.0,0
1640,0.738,1,2.0,0.0,2.0,1
1641,0.5579999999999999,0,2.0,0.0,1.0,0
1647,0.925,0,2.0,0.0,2.0,0
1654,0.804,0,2.0,0.0,1.0,1
1663,0.923,0,2.0,0.0,2.0,0
1669,0.836,1,2.0,0.0,0.0,0
1670,0.762,1,2.0,0.0,0.0,0
1678,0.926,0,2.0,0.0,2.0,1
1683,0.804,0,2.0,6.0,2.1882634428913237,0
1687,0.924,0,2.0,0.0,5.0,0
1688,0.925,1,2.0,0.0,3.0,0
1692,0.924,1,2.0,0.0,0.0,0
1715,0.92,1,2.0,0.0,0.0,1
1720,0.84,1,2.0,0.0,3.0,0
1726,0.74,0,2.0,3.0,2.1882634428913237,1
1731,0.855,1,2.0,0.0,4.0,1
1733,0.89,0,2.0,0.0,1.0,0
1734,0.579,1,2.0,2.0,2.1882634428913237,1
1737,0.949,1,2.0,0.0,2.0,1
1739,0.762,1,2.0,0.0,3.0,1
1742,0.754,1,2.0,0.0,2.1882634428913237,0
1743,0.91,0,2.0,0.0,5.0,1
1744,0.698,1,2.0,0.0,2.0,0
1761,0.527,1,2.0,0.0,3.0,1
1769,0.7959999999999999,1,2.0,0.0,3.0,0
1781,0.855,1,2.0,0.0,3.0,0
1785,0.878,1,2.0,0.0,1.0,1
1790,0.848,1,2.0,0.0,3.0,0
1817,0.74,0,2.0,0.0,2.0,0
1818,0.802,0,2.0,0.0,0.0,0
1839,0.579,0,2.0,0.0,0.0,0
1844,0.6659999999999999,0,2.0,0.0,1.0,0
1864,0.949,0,2.0,0.0,1.0,0
1868,0.83,0,2.0,0.0,0.0,0
1869,0.804,1,2.0,0.0,2.0,1
1879,0.789,1,2.0,0.0,1.0,1
1882,0.579,1,2.0,0.0,0.0,1
1884,0.682,0,2.0,0.0,2.0,1
1895,0.725,0,2.0,0.0,1.0,0
1896,0.5579999999999999,1,2.0,0.0,2.0,0
1898,0.722,0,2.0,0.0,5.0,0
1902,0.899,1,2.0,0.0,2.0,1
1937,0.762,1,2.0,0.0,2.0,0
1940,0.624,0,2.0,0.0,4.0,0
1943,0.89,1,2.0,0.0,3.0,0
1945,0.479,1,2.0,0.0,0.0,1
1964,0.897,1,2.0,0.0,2.1882634428913237,0
1968,0.6659999999999999,1,2.0,0.0,5.0,0
1976,0.924,0,2.0,0.0,4.0,0
1985,0.754,1,2.0,0.0,4.0,1
1990,0.762,0,2.0,0.0,1.0,1
2001,0.698,1,2.0,0.0,2.0,1
2007,0.804,1,2.0,17.0,2.1882634428913237,0
2010,0.92,0,2.0,0.0,3.0,1
2011,0.925,1,2.0,0.0,4.0,0
2012,0.55,1,2.0,0.0,3.0,1
2024,0.939,1,2.0,0.0,5.0,1
2028,0.7959999999999999,0,2.0,0.0,1.0,0
2031,0.479,0,2.0,0.0,3.0,1
2035,0.6659999999999999,1,2.0,0.0,2.0,1
2036,0.624,0,2.0,0.0,4.0,1
2037,0.887,0,2.0,0.0,2.1882634428913237,0
2043,0.884,0,2.0,0.0,2.0,0
2045,0.754,0,2.0,0.0,3.0,0
2060,0.887,1,2.0,7.0,2.1882634428913237,0
2062,0.802,1,2.0,0.0,5.0,0
2066,0.6659999999999999,0,2.0,0.0,1.0,1
2070,0.887,0,2.0,0.0,5.0,0
2088,0.5579999999999999,1,2.0,0.0,1.0,0
2096,0.764,1,2.0,0.0,3.0,1
2106,0.624,0,2.0,19.0,2.1882634428913237,1
2113,0.913,1,2.0,0.0,3.0,1
2117,0.7659999999999999,0,2.0,0.0,2.0,1
2118,0.92,1,2.0,0.0,2.1882634428913237,0
2122,0.762,1,2.0,0.0,1.0,1
2124,0.5579999999999999,1,2.0,0.0,0.0,1
2128,0.887,1,2.0,0.0,3.0,1
2131,0.745,0,2.0,0.0,0.0,0
2133,0.727,0,2.0,0.0,1.0,1
2138,0.866,0,2.0,0.0,1.0,1
2142,0.7659999999999999,1,2.0,0.0,2.0,0
2165,0.762,0,2.0,0.0,3.0,0
2166,0.895,1,2.0,0.0,2.0,1
2176,0.527,1,2.0,0.0,1.0,0
2177,0.949,1,2.0,0.0,5.0,0
2186,0.84,1,2.0,0.0,0.0,0
2189,0.939,0,2.0,0.0,3.0,0
2193,0.691,1,2.0,0.0,2.0,0
2226,0.682,1,2.0,0.0,4.0,0
2242,0.802,0,2.0,0.0,1.0,0
2246,0.767,1,2.0,0.0,3.0,1
2250,0.645,1,2.0,0.0,2.0,0
2268,0.802,1,2.0,0.0,5.0,1
2283,0.6659999999999999,0,2.0,0.0,5.0,0
2285,0.804,1,2.0,0.0,0.0,1
2295,0.579,1,2.0,0.0,2.0,1
2314,0.743,0,2.0,0.0,1.0,1
2316,0.84,1,2.0,0.0,1.0,1
2319,0.727,1,2.0,0.0,4.0,0
2326,0.897,1,2.0,0.0,3.0,0
2348,0.913,1,2.0,0.0,5.0,1
2351,0.74,1,2.0,0.0,0.0,0
2362,0.763,1,2.0,0.0,1.0,0
2369,0.91,0,2.0,0.0,3.0,0
2378,0.856,0,2.0,0.0,1.0,0
2393,0.887,1,2.0,0.0,2.0,0
2399,0.743,1,2.0,0.0,5.0,0
